VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,housenum,2019戶,2019人,2009戶,2009人,全名,taxnum,綜合所?,ave,median,第一分?,第三分?,popdelta,標準差,變異數,empty
66000150003,臺中市,后里區,義里里,Yi Vil.,B,66000,B15,66000150,121,1249,3776,1123,3789,臺中市后里區義里里,924,699691,757,582,336,927,-0.003431,703.55,92.91,0.1
66000150004,臺中市,后里區,后里里,Hou Vil.,B,66000,B15,66000150,134,1358,4446,1145,4436,臺中市后里區后里里,1105,842617,763,597,345,935,0.002254,746.28,97.87,0.094
66000150005,臺中市,后里區,厚里里,Hou Vil.,B,66000,B15,66000150,48,774,2533,700,2689,臺中市后里區厚里里,639,453889,710,535,336,855,-0.058014,705.08,99.26,0.0665
66000150006,臺中市,后里區,墩東里,Dundong Vil.,B,66000,B15,66000150,135,1800,5945,1518,5851,臺中市后里區墩東里,1387,1082630,781,581,357,989,0.016066,722.07,92.51,0.0766
66000150007,臺中市,后里區,墩西里,Dunxi Vil.,B,66000,B15,66000150,62,805,2342,662,2323,臺中市后里區墩西里,548,407771,744,576,328,981,0.008179,620.75,83.42,0.0933
66000150008,臺中市,后里區,墩南里,Dunnan Vil.,B,66000,B15,66000150,83,1212,4081,928,3680,臺中市后里區墩南里,1001,751764,751,575,351,938,0.108967,752.57,100.21,0.0738
66000150009,臺中市,后里區,墩北里,Dunbei Vil.,B,66000,B15,66000150,118,1278,4281,1128,4173,臺中市后里區墩北里,1101,855821,777,575,334,928,0.025881,1319.38,169.74,0.0901
66000150010,臺中市,后里區,中和里,Zhonghe Vil.,B,66000,B15,66000150,28,862,2977,769,3002,臺中市后里區中和里,766,538026,702,530,333,916,-0.008328,598.98,85.28,0.0931
66000040011,臺中市,西區,民龍里,Minlong Vil.,B,66000,B04,66000040,375,1667,3923,1407,3605,臺中市西區民龍里,1109,1204825,1086,667,346,1301,0.088211,1363.82,125.54,0.1392
66000150011,臺中市,后里區,舊社里,Jiushe Vil.,B,66000,B15,66000150,30,756,2699,549,2153,臺中市后里區舊社里,559,377642,676,528,316,899,0.2536,543.74,80.49,0.0691
66000150012,臺中市,后里區,聯合里,Lianhe Vil.,B,66000,B15,66000150,35,524,1846,507,2084,臺中市后里區聯合里,393,277114,705,549,349,826,-0.114203,699.56,99.21,0.0827
66000150013,臺中市,后里區,太平里,Taiping Vil.,B,66000,B15,66000150,147,709,2557,667,2774,臺中市后里區太平里,562,390593,695,578,350,899,-0.078226,491.62,70.74,0.0644
66000150014,臺中市,后里區,眉山里,Meishan Vil.,B,66000,B15,66000150,77,1117,3801,1055,3890,臺中市后里區眉山里,910,686167,754,569,340,957,-0.022879,628.78,83.39,0.0696
66000170001,臺中市,潭子區,潭陽里,Tanyang Vil.,B,66000,B17,66000170,258,4503,13401,4161,13111,臺中市潭子區潭陽里,3500,2565167,733,555,346,918,0.022119,689.64,94.1,0.0589
66000170002,臺中市,潭子區,潭秀里,Tanxiu Vil.,B,66000,B17,66000170,50,488,1541,519,1791,臺中市潭子區潭秀里,453,427742,944,586,340,1064,-0.139587,1754.63,185.82,0.0932
66000170003,臺中市,潭子區,潭北里,Tanbei Vil.,B,66000,B17,66000170,95,936,2784,877,2812,臺中市潭子區潭北里,743,593142,798,536,331,958,-0.009957,1001.19,125.41,0.1
66000170004,臺中市,潭子區,福仁里,Furen Vil.,B,66000,B17,66000170,385,4353,12315,3542,10993,臺中市潭子區福仁里,3236,2358616,729,570,352,924,0.120258,605.19,83.03,0.0891
66000170005,臺中市,潭子區,頭家里,Toujia Vil.,B,66000,B17,66000170,168,2280,6684,1856,5659,臺中市潭子區頭家里,1675,1299480,776,609,374,984,0.181127,680.22,87.68,0.0761
66000170006,臺中市,潭子區,甘蔗里,Ganzhe Vil.,B,66000,B17,66000170,256,3925,11359,3446,10732,臺中市潭子區甘蔗里,3145,2532561,805,599,359,1010,0.058423,777.96,96.61,0.0655
66000170007,臺中市,潭子區,東寶里,Dongbao Vil.,B,66000,B17,66000170,268,4589,14185,3909,13111,臺中市潭子區東寶里,3960,2937354,742,557,338,916,0.081916,695.59,93.78,0.0605
66000170008,臺中市,潭子區,大富里,Dafu Vil.,B,66000,B17,66000170,39,1037,3364,792,2806,臺中市潭子區大富里,901,728277,808,607,343,1017,0.19886,826.8,102.29,0.0421
66000170009,臺中市,潭子區,大豐里,Dafeng Vil.,B,66000,B17,66000170,133,2350,7309,1822,5996,臺中市潭子區大豐里,2056,1780684,866,625,368,1071,0.218979,921.44,106.39,0.0566
66000170010,臺中市,潭子區,栗林里,Lilin Vil.,B,66000,B17,66000170,152,1769,5328,1600,5404,臺中市潭子區栗林里,1603,1186464,740,539,332,871,-0.014064,744.53,100.59,0.0872
66000170011,臺中市,潭子區,嘉仁里,Jiaren Vil.,B,66000,B17,66000170,89,1479,4828,1244,4545,臺中市潭子區嘉仁里,1155,835897,724,544,352,900,0.062266,651.06,89.96,0.0721
66000080002,臺中市,北屯區,北屯里,Beitun Vil.,B,66000,B08,66000080,172,1554,3973,1450,4080,臺中市北屯區北屯里,1151,1097122,953,617,354,1122,-0.026225,1642.46,172.31,0.1013
66000230013,臺中市,烏日區,螺潭里,Luotan Vil.,B,66000,B23,66000230,52,794,2511,668,2339,臺中市烏日區螺潭里,668,508001,760,543,323,952,0.073536,820.66,107.91,0.0773
66000140001,臺中市,梧棲區,頂寮里,Dingliao Vil.,B,66000,B14,66000140,571,1693,4308,1185,3519,臺中市梧棲區頂寮里,1003,749223,747,582,368,900,0.224211,837.9,112.17,0.2483
66000140008,臺中市,梧棲區,南簡里,Nanjian Vil.,B,66000,B14,66000140,175,2000,6209,1332,4464,臺中市梧棲區南簡里,1714,1351994,789,618,366,1012,0.390905,644.7,81.73,0.0898
66000120016,臺中市,清水區,?榔里,Kanglang  Vil.,B,66000,B12,66000120,821,2614,6874,1566,5055,臺中市清水區?榔里,1657,1303050,786,607,377,1007,0.359842,723.08,91.95,0.2639
66000290007,臺中市,和平區,梨山里,Lishan Vil.,B,66000,B29,66000290,122,1028,2254,999,2158,臺中市和平區梨山里,253,152308,602,507,343,741,0.044486,442.98,73.58,0.2239
66000290008,臺中市,和平區,平等里,Pingdeng Vil.,B,66000,B29,66000290,46,374,1013,361,859,臺中市和平區平等里,114,76057,667,558,361,829,0.179278,470.69,70.55,0.2045
66000290003,臺中市,和平區,博愛里,Bo'ai Vil.,B,66000,B29,66000290,103,811,1919,820,1941,臺中市和平區博愛里,341,268611,788,527,320,792,-0.011334,2704.37,343.32,0.2021
66000290002,臺中市,和平區,天輪里,Tianlun Vil.,B,66000,B29,66000290,58,240,469,250,573,臺中市和平區天輪里,88,58941,670,463,287,870,-0.181501,623.22,93.05,0.3789
66000190013,臺中市,新社區,福興里,Fuxing Vil.,B,66000,B19,66000190,21,479,1298,473,1470,臺中市新社區福興里,194,115751,597,485,325,747,-0.117007,430.1,72.09,0.1362
66000270015,臺中市,太平區,東汴里,Dongbian Vil.,B,66000,B27,66000270,60,459,1347,463,1470,臺中市太平區東汴里,205,110595,539,431,279,670,-0.083673,432.83,80.23,0.1786
66000270019,臺中市,太平區,黃竹里,Huangzhu Vil.,B,66000,B27,66000270,66,316,718,348,877,臺中市太平區黃竹里,101,66403,657,533,288,923,-0.1813,496.44,75.51,0.2703
66000260001,臺中市,霧峰區,桐林里,Tonglin Vil.,B,66000,B26,66000260,39,449,1408,411,1437,臺中市霧峰區桐林里,258,189517,735,529,291,911,-0.020181,760.94,103.59,0.12
66000260009,臺中市,霧峰區,坑口里,Kengkou Vil.,B,66000,B26,66000260,189,1170,3492,1161,3581,臺中市霧峰區坑口里,879,597445,680,527,322,860,-0.024853,657.91,96.8,0.1214
66000260016,臺中市,霧峰區,峰谷里,Fenggu Vil.,B,66000,B26,66000260,45,380,1301,357,1407,臺中市霧峰區峰谷里,282,184048,653,513,323,758,-0.075338,534.59,81.91,0.1294
66000260014,臺中市,霧峰區,萬豐里,Wanfeng Vil.,B,66000,B26,66000260,103,978,3142,923,3203,臺中市霧峰區萬豐里,732,522747,714,494,311,802,-0.019045,1936.5,271.17,0.1168
66000260015,臺中市,霧峰區,舊正里,Jiuzheng Vil.,B,66000,B26,66000260,40,707,2460,686,2579,臺中市霧峰區舊正里,570,397515,697,544,331,931,-0.046142,560.75,80.41,0.0669
66000260004,臺中市,霧峰區,本鄉里,Benxiang Vil.,B,66000,B26,66000260,115,959,2697,801,2427,臺中市霧峰區本鄉里,719,564678,785,562,320,958,0.111248,807.21,102.78,0.1043
66000260010,臺中市,霧峰區,北柳里,Beiliu Vil.,B,66000,B26,66000260,117,1443,4755,1198,4333,臺中市霧峰區北柳里,1169,921865,789,563,343,970,0.097392,1069.35,135.6,0.0747
66000280020,臺中市,大里區,西湖里,Xihu Vil.,B,66000,B28,66000280,49,1070,3477,938,3221,臺中市大里區西湖里,893,675077,756,526,317,893,0.079478,1104.91,146.16,0.0548
