VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,housenum,2019戶,2019人,2009戶,2009人,全名,taxnum,綜合所?,ave,median,第一分?,第三分?,popdelta,標準差,變異數,empty
66000090029,臺中市,豐原區,東陽里,Dongyang Vil.,B,66000,B09,66000090,35,532,1855,520,2089,臺中市豐原區東陽里,471,338604,719,532,339,812,-0.112015,898.67,125.01,0.0686
66000090030,臺中市,豐原區,南村里,Nan Vil.,B,66000,B09,66000090,225,2195,6480,1807,5919,臺中市豐原區南村里,1792,1580452,882,552,327,1009,0.09478,3066.16,347.66,0.1031
66000090031,臺中市,豐原區,南田里,Nantian Vil.,B,66000,B09,66000090,70,1183,3776,1102,3870,臺中市豐原區南田里,1047,715548,683,523,311,845,-0.024289,620.26,90.76,0.0658
66000090032,臺中市,豐原區,南嵩里,Nansong Vil.,B,66000,B09,66000090,93,1192,3912,1035,3789,臺中市豐原區南嵩里,1044,841748,806,556,340,872,0.032462,2190.18,271.64,0.0791
66000090033,臺中市,豐原區,翁明里,Wengming Vil.,B,66000,B09,66000090,68,906,2567,702,2355,臺中市豐原區翁明里,755,726925,963,573,323,951,0.090021,3353.83,348.34,0.0797
66000090034,臺中市,豐原區,翁子里,Wengzi Vil.,B,66000,B09,66000090,92,1132,3596,920,3317,臺中市豐原區翁子里,943,684310,726,536,328,866,0.084112,813.32,112.08,0.0884
66000090035,臺中市,豐原區,翁社里,Wengshe Vil.,B,66000,B09,66000090,43,750,2406,668,2508,臺中市豐原區翁社里,656,469481,716,527,304,850,-0.04067,883.95,123.51,0.0605
66000090036,臺中市,豐原區,朴子里,Puzi Vil.,B,66000,B09,66000090,81,1157,3902,1093,3999,臺中市豐原區朴子里,982,710871,724,510,303,835,-0.024256,1005.21,138.86,0.0777
66000100001,臺中市,東勢區,北興里,Beixing Vil.,B,66000,B10,66000100,60,605,1583,595,1617,臺中市東勢區北興里,404,289390,716,526,304,940,-0.021027,657.84,91.84,0.1185
66000100002,臺中市,東勢區,中寧里,Zhongning Vil.,B,66000,B10,66000100,32,399,1003,356,1000,臺中市東勢區中寧里,256,157592,616,467,276,800,0.003,531.71,86.37,0.0929
66000100003,臺中市,東勢區,東安里,Dong'an Vil.,B,66000,B10,66000100,47,458,1208,487,1553,臺中市東勢區東安里,309,224883,728,530,271,915,-0.222151,701.64,96.41,0.1135
66000100004,臺中市,東勢區,南平里,Nanping Vil.,B,66000,B10,66000100,86,749,2158,760,2488,臺中市東勢區南平里,529,395007,747,578,333,915,-0.132637,669.12,89.61,0.1299
66000100005,臺中市,東勢區,延平里,Yanping Vil.,B,66000,B10,66000100,89,935,2565,917,2929,臺中市東勢區延平里,627,464931,742,541,300,947,-0.124274,782.21,105.49,0.1051
66000100006,臺中市,東勢區,上新里,Shangxin Vil.,B,66000,B10,66000100,33,394,1136,385,1229,臺中市東勢區上新里,280,180787,646,525,285,809,-0.075671,538.32,83.37,0.1099
66000100007,臺中市,東勢區,廣興里,Guangxing Vil.,B,66000,B10,66000100,55,609,1705,595,2019,臺中市東勢區廣興里,407,328691,808,568,342,1024,-0.155523,749.09,92.76,0.1059
66000100008,臺中市,東勢區,泰昌里,Taichang Vil.,B,66000,B10,66000100,121,1454,4136,1387,4513,臺中市東勢區泰昌里,1020,792670,777,575,352,939,-0.083536,721.01,92.78,0.09
66000100009,臺中市,東勢區,中嵙里,Zhongke Vil.,B,66000,B10,66000100,72,755,2140,717,2366,臺中市東勢區中嵙里,382,263699,690,498,318,927,-0.09552,596.58,86.42,0.1111
66000100010,臺中市,東勢區,福隆里,Fulong Vil.,B,66000,B10,66000100,81,1491,4367,1279,4316,臺中市東勢區福隆里,930,638375,686,540,317,853,0.011816,572.1,83.35,0.1175
66000100011,臺中市,東勢區,隆興里,Longxing Vil.,B,66000,B10,66000100,76,580,1657,554,1799,臺中市東勢區隆興里,296,191568,647,497,319,775,-0.078933,543.69,84.01,0.1516
66000100012,臺中市,東勢區,新盛里,Xincheng Vil.,B,66000,B10,66000100,156,1912,5761,1810,6234,臺中市東勢區新盛里,1353,921045,681,550,318,873,-0.075874,569.55,83.67,0.0947
66000100013,臺中市,東勢區,詒福里,Yifu Vil.,B,66000,B10,66000100,40,623,1891,592,1974,臺中市東勢區詒福里,355,255597,720,527,297,853,-0.042047,749.31,104.07,0.0818
66000100014,臺中市,東勢區,上城里,Shangcheng Vil.,B,66000,B10,66000100,34,391,1103,358,1194,臺中市東勢區上城里,238,185080,778,578,347,965,-0.076214,699.29,89.92,0.1093
66000100015,臺中市,東勢區,下城里,Xiacheng Vil.,B,66000,B10,66000100,38,358,948,343,1044,臺中市東勢區下城里,187,132463,708,564,308,893,-0.091954,685.6,96.79,0.1422
66000100016,臺中市,東勢區,慶東里,Qingdong Vil.,B,66000,B10,66000100,37,700,2078,679,2379,臺中市東勢區慶東里,384,247930,646,493,293,826,-0.126524,606.83,93.99,0.0709
66000100017,臺中市,東勢區,慶福里,Qingfu Vil.,B,66000,B10,66000100,61,505,1443,513,1666,臺中市東勢區慶福里,218,143761,659,529,307,751,-0.133854,903.52,137.01,0.1786
66000100018,臺中市,東勢區,東新里,Dongxin Vil.,B,66000,B10,66000100,80,839,2223,784,2278,臺中市東勢區東新里,552,391010,708,526,314,897,-0.024144,609.64,86.06,0.1078
66000100019,臺中市,東勢區,粵寧里,Yuening Vil.,B,66000,B10,66000100,82,834,2337,788,2388,臺中市東勢區粵寧里,582,404961,696,527,325,940,-0.021357,546.5,78.54,0.1138
66000100020,臺中市,東勢區,下新里,Xiaxin Vil.,B,66000,B10,66000100,50,649,1860,620,2052,臺中市東勢區下新里,447,297853,666,499,297,860,-0.093567,572.45,85.91,0.1107
66000100021,臺中市,東勢區,興隆里,Xinglong Vil.,B,66000,B10,66000100,127,448,1338,477,1497,臺中市東勢區興隆里,281,171681,611,512,327,737,-0.106212,426.08,69.74,0.1393
66000100022,臺中市,東勢區,茂興里,Maoxing Vil.,B,66000,B10,66000100,97,722,2073,661,2235,臺中市東勢區茂興里,419,242358,578,499,282,738,-0.072483,455.39,78.73,0.1508
66000100023,臺中市,東勢區,泰興里,Taixing Vil.,B,66000,B10,66000100,31,262,787,241,857,臺中市東勢區泰興里,149,99860,670,549,364,828,-0.08168,498.64,74.4,0.1379
66000100024,臺中市,東勢區,埤頭里,Bitou Vil.,B,66000,B10,66000100,19,253,712,259,798,臺中市東勢區埤頭里,145,94533,652,513,308,812,-0.107769,603.91,92.63,0.1098
66000100025,臺中市,東勢區,明正里,Mingzheng Vil.,B,66000,B10,66000100,69,497,1561,506,1776,臺中市東勢區明正里,220,136058,618,489,311,818,-0.121059,472.36,76.38,0.1752
